Date,Particulars,State,Outwards,Product
April-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
April-22,Online Sales,jharkhand,2,Dia-P Tablets 10x1x10
April-22,Online Sales,Jharkhand,4,Dia-P Tablets 10x1x10
April-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
April-22,Online Sales,Bihar,1,Dia-P Tablets 10x1x10
April-22,Online Sales,Punjab,2,Dia-P Tablets 10x1x10
April-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
April-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
April-22,Online Sales,Punjab,1,Dia-P Tablets 10x1x10
April-22,Online Sales,Haryana,1,Dia-P Tablets 10x1x10
May-22,Online Sales,Punjab,1,Dia-P Tablets 10x1x10
May-22,Online Sales,Haryana,2,Dia-P Tablets 10x1x10
May-22,Online Sales,Punjab,2,Dia-P Tablets 10x1x10
May-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
May-22,Online Sales,Uttar Pradesh,4,Dia-P Tablets 10x1x10
June-22,Online Sales,Jammu,2,Dia-P Tablets 10x1x10
June-22,Online Sales,Punjab,2,Dia-P Tablets 10x1x10
June-22,Online Sales,Haryana,1,Dia-P Tablets 10x1x10
June-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
June-22,Online Sales,Raipur,2,Dia-P Tablets 10x1x10
June-22,Online Sales,West Bengal,1,Dia-P Tablets 10x1x10
June-22,Online Sales,Bihar,1,Dia-P Tablets 10x1x10
June-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
June-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
June-22,Online Sales,Jammu,1,Dia-P Tablets 10x1x10
July-22,Online Sales,Haryana,1,Dia-P Tablets 10x1x10
July-22,Online Sales, Karnataka,1,Dia-P Tablets 10x1x10
July-22,Online Sales,Jammu,1,Dia-P Tablets 10x1x10
July-22,Online Sales, Karnataka,6,Dia-P Tablets 10x1x10
